728601,102.75,103,102.25,103,17200
728605,100,108.75,100,106.5,16800
728606,107,108.75,106.25,107.75,24400
728607,107.5,107.5,106.25,106.75,17600
728608,107.5,107.5,107.5,107.5,800
728609,106.25,106.25,106.25,106.25,400
728612,106.25,106.25,105.63,105.63,3600
728613,105,105,103.75,103.75,3200
728614,107,107.5,107,107.25,1600
728615,106.25,106.25,106.25,106.25,400
728619,108.75,108.75,108.75,108.75,400
728620,106.5,106.5,104.75,106.25,3600
728621,106.25,107.5,105.5,105.75,2800
728622,106.25,106.25,106.25,106.25,400
728623,106.25,106.25,105,105,1200
728626,106.25,106.25,106.25,106.25,400
728628,106.25,106.25,105,105,1600
728629,105,105,104.5,104.5,800
728633,100,100,96.25,96.25,2000
728634,100,100,96.75,97.5,3200
728635,97.5,97.75,97.5,97.5,2400
728636,102.5,102.5,102.5,102.5,400
728641,93.81,93.81,91.88,92.38,5200
728642,91.25,91.75,90,90,4400
728643,91.25,91.25,90,91,6400
728647,95,101.25,95,101.25,800
728648,101.24,101.25,100,101.25,2400
728649,102.5,103,100.5,100.5,3200
728650,101.25,101.25,100,100,2400
728651,101.25,102.5,101.25,102.5,1200
728654,100,100,100,100,800
728655,98.75,98.75,98.13,98.13,800
728658,96.26,96.28,93.75,93.75,2000
728661,98.75,98.75,98.75,98.75,400
728662,98.75,100,98.75,100,2400
728663,100,101.25,100,100,1600
728664,100.13,100.13,98,98,1200
728665,96.25,96.25,96.25,96.25,20400
728668,95,95,95,95,800
728669,96.25,96.88,95,95,1600
728670,93.75,93.75,90.75,93.75,2800
728671,94,94,92.75,92.75,3600
728672,92.51,93.75,92.5,92.5,2400
728675,95,95.63,95,95,2800
728676,96.25,101.25,96.25,99.35,2800
728677,97.5,97.5,95,97.5,4800
728678,97.5,97.5,95,95,4400
728679,96.5,96.5,93.75,94.86,5600
728682,93.75,94.51,93.75,93.75,1600
728683,92.5,92.5,92.5,92.5,2400
728684,93.75,93.75,92.5,92.5,1200
728686,93.75,93.75,90,90,12400
728689,92.5,93,92.5,92.81,8000
728690,92.75,92.75,91.25,91.25,1600
728691,90.01,90.01,87.5,87.5,6800
728692,89.5,90,87.5,87.5,10000
728693,88.75,88.81,87.75,88.75,6400
728696,88.5,88.5,87,87,6000
728697,86,87.38,86,87.38,4400
728698,87.38,87.5,85,85.04,12000
728699,85,86,85,85.5,5600
728700,86.5,86.75,85,85,12400
728703,87.5,87.5,85,85.25,12000
728704,86.25,86.75,85.13,85.75,2800
728705,86.25,87,86,86.25,4400
728706,87.5,87.5,87.5,87.5,800
728707,87.5,87.5,86.25,86.69,5200
728710,86,86.25,83.75,85.25,4000
728711,84,84.25,82.5,82.63,5600
728712,85,85,83.75,84,2400
728713,87.5,87.5,86.5,87.5,2000
728714,87.5,90,86.5,87.6,3200
728718,87,90,86.75,86.88,7200
728719,87.49,88.25,87.49,87.51,10400
728720,87.5,87.5,86.25,86.68,14800
728721,87.5,87.5,85,85.26,17600
728724,87,87.5,85.75,86.63,7200
728725,87.5,87.5,86,86.5,15600
728726,87.38,88,87.38,88,2800
728727,87.53,88.75,87.5,87.5,2800
728728,87.54,87.63,86,86,7600
728731,85.63,86.25,85.63,86.25,800
728732,85.03,85.25,84.5,84.5,4400
728733,87.5,87.5,81.25,82.55,38000
728734,83.75,85,82.5,82.5,4000
728738,84.56,86,84,84,8800
728739,82.5,83.13,81.13,82.16,14800
728740,87,87,86.63,86.63,1200
728741,86,86.25,83.75,84.25,10400
728742,85.25,85.25,83,85,4400
728745,83,85,83,84,2400
728746,85,85,83.5,83.83,4000
728747,85,85,84.28,84.99,4800
728748,85,85.25,84.5,84.5,2800
728749,83.75,83.75,82.5,83.75,1600
728752,83.75,85,83.75,85,2800
728753,83,83.75,82.5,82.5,4000
728754,85,88.75,85,88.74,3200
728755,87.5,88.13,87.5,87.5,2400
728756,86.26,86.26,85,85.34,5200
728759,85.5,86.25,85.25,86.18,6800
728760,83.75,84.25,83.1,83.1,2000
728761,84.5,84.5,83.75,83.75,1200
728766,86.25,86.25,84.75,85,16400
728767,84.63,85,83.75,84,16400
728768,85,85.5,83.13,83.13,2800
728769,84.5,84.5,83,83,4400
728770,83.75,83.75,83.13,83.13,2000
728773,83,83.75,80,80,3200
728774,81.25,81.25,79.25,79.25,2800
728775,78.75,81,78.75,79.51,5200
728776,79.25,79.74,77.5,77.51,4800
728777,77.51,77.51,77.5,77.5,800
728781,81.25,81.25,75,75,4800
728782,71.25,72.88,71.25,72.71,4800
728783,72.75,73.75,72.63,73.75,3600
728784,75,76.25,75,76.24,5600
728787,74,75,74,75,7600
728788,76.25,76.94,75,76.46,5600
728789,78.75,78.75,76.88,76.88,800
728791,76.25,76.25,75.5,76.09,7600
728794,78.75,78.75,74.5,74.7,6800
728795,75.01,75.01,74.25,74.59,4000
728796,75.63,76.25,74.5,76.21,3200
728797,75.5,77.5,75,75.25,7200
728798,77.5,79.99,77.5,77.81,4800
728801,77.5,77.5,76.25,76.25,6400
728802,77,77,76.25,76.5,6400
728803,76.5,77.25,74,75,6000
728804,75,76,75,75,8400
728805,76,76,75.03,75.03,2400
728808,75.01,75.38,75,75.03,8800
728809,75.25,75.63,73.75,74.73,7600
728810,76.25,76.25,75.03,75.63,3600
728811,75.63,75.75,75.5,75.75,3200
728812,75.81,77.89,75.75,77.73,6000
728815,76.88,76.88,75,75,7200
728816,75,75.25,73.75,75.13,8000
728817,75,76.25,75,75.25,10800
728818,71.25,75.25,71.25,75.25,5200
728819,75,77,75,75.25,6000
